String,shouvik
String,baban
String,Shouvik Basu
String,Shouvik@Basu
String,sayanesh
String,Tiyasa
String,Tapas Khanra
String,Amit Khanra
String,Priya
String,Kajal
String,Priya1
String,Kajal2
String,baban3
String,sayanesh4
String,Tiyasa5
String,Kajal-Ghosh
String,Kajal-Ghosh-
String,Kajal:Ghosh
String,Kajal.Ghosh
Number,1
Number,12
Number,123
Number,1234
Number,-123
Number,-12
Number,-1
Number,0
Number,1.0
Number,1.01
Number,1.012
Date,12-02-2018
Date,11-01-2017
Date,10-12-2016
Date,09-11-2015
Date,08-10-2014
Date,07-09-2013
Date,06-08-2012
Date,05-07-2011
Date,04-06-2010
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
Timestamp,12-02-2018 12:35:35
